,episode,score,Q_sum
0,0.0,2.0,6.514875
1,1.0,3.0,88.32046843750001
2,2.0,9.0,518.440232975039
3,3.0,6.0,2952.2706036228
4,4.0,6.0,7109.373639152307
5,5.0,5.0,14361.952544428479
6,6.0,6.0,22299.70135545956
7,7.0,4.0,30590.58219970867
8,8.0,2.0,39528.49044229449
9,9.0,3.0,48304.9840569111
10,10.0,6.0,58017.49420704361
11,11.0,6.0,67795.64986895226
12,12.0,6.0,77781.05350215739
13,13.0,5.0,88202.8285855282
14,14.0,5.0,99977.08964245714
15,15.0,4.0,114725.17633243848
16,16.0,3.0,130946.31501402534
17,17.0,5.0,149350.01820121435
18,18.0,4.0,169956.54371429002
19,19.0,0.0,189895.29852749067
20,20.0,7.0,209430.3587884751
21,21.0,6.0,230502.57039059908
22,22.0,2.0,252960.57392217132
23,23.0,9.0,275760.74097312294
24,24.0,5.0,301018.10608488595
25,25.0,5.0,324555.1372803208
26,26.0,4.0,350537.95565177273
27,27.0,7.0,375384.1455659692
28,28.0,4.0,401085.9034015091
29,29.0,3.0,428499.042560151
30,30.0,3.0,454302.1970130561
31,31.0,4.0,481585.54113582475
32,32.0,4.0,507019.4058951999
33,33.0,3.0,533633.3681122649
34,34.0,2.0,560327.6244501472
35,35.0,2.0,588381.1539457213
36,36.0,5.0,615263.4580981894
37,37.0,5.0,642450.3398275701
38,38.0,0.0,659247.7864803491
39,39.0,3.0,688741.9146838235
40,40.0,5.0,716852.9622883796
41,41.0,1.0,747963.6853621043
42,42.0,2.0,774148.0082709803
43,43.0,5.0,797787.2637204909
44,44.0,5.0,821051.2725085054
45,45.0,3.0,853625.5938458806
46,46.0,2.0,890717.3765850784
47,47.0,0.0,922355.2404692115
48,48.0,5.0,951797.3974901912
49,49.0,2.0,989527.857095047
50,50.0,6.0,1018750.7684990602
51,51.0,4.0,1051328.271850428
52,52.0,5.0,1082755.3451537294
53,53.0,4.0,1112383.4180611458
54,54.0,4.0,1135409.385236992
55,55.0,5.0,1161434.3514355377
56,56.0,4.0,1186335.583764154
57,57.0,6.0,1218606.6402224666
58,58.0,5.0,1243409.1198751484
59,59.0,5.0,1275414.6391943675
60,60.0,5.0,1303610.8510800062
61,61.0,2.0,1322066.6322834652
62,62.0,2.0,1348643.2847038314
63,63.0,8.0,1378688.4827659465
64,64.0,1.0,1395932.5933543663
65,65.0,4.0,1420259.922307431
66,66.0,6.0,1451701.731280772
67,67.0,5.0,1480954.7336750827
68,68.0,5.0,1506583.375471001
69,69.0,3.0,1535088.8306598533
70,70.0,6.0,1566013.8559707676
71,71.0,6.0,1591717.1309111225
72,72.0,3.0,1614974.7662475253
73,73.0,0.0,1637674.2363089903
74,74.0,8.0,1664832.8651396602
75,75.0,2.0,1691591.1930003767
76,76.0,7.0,1716748.6117553073
77,77.0,9.0,1747971.4317066667
78,78.0,8.0,1774595.6461732432
79,79.0,4.0,1805132.6384436493
80,80.0,4.0,1835343.1168346703
81,81.0,5.0,1870596.835420827
82,82.0,3.0,1897564.4775653419
83,83.0,3.0,1916423.5789256298
84,84.0,2.0,1946599.867336986
85,85.0,6.0,1969809.8242017815
86,86.0,3.0,1992302.621311949
87,87.0,6.0,2011459.1832179427
88,88.0,8.0,2034981.577224623
89,89.0,3.0,2058331.1416924451
90,90.0,6.0,2077174.2096913692
91,91.0,4.0,2100200.246886383
92,92.0,7.0,2118986.2242184896
93,93.0,3.0,2134154.9302830133
94,94.0,2.0,2162517.7517836154
95,95.0,4.0,2190900.5389621677
96,96.0,5.0,2211516.4722109344
97,97.0,5.0,2235067.1734072655
98,98.0,4.0,2258335.8195486297
99,99.0,1.0,2274426.815209298
100,100.0,5.0,2294006.615329267
101,101.0,4.0,2315947.8317682343
102,102.0,6.0,2337075.5142707014
103,103.0,5.0,2359564.2874829248
104,104.0,5.0,2381631.912808091
105,105.0,2.0,2403959.779317626
106,106.0,5.0,2420141.9310662677
107,107.0,1.0,2436945.9208391486
108,108.0,3.0,2462092.4828877635
109,109.0,4.0,2476411.8780544144
110,110.0,3.0,2498988.5292238193
111,111.0,6.0,2512786.9522486953
112,112.0,4.0,2529272.717333969
113,113.0,4.0,2543158.0697527886
114,114.0,7.0,2557746.0840616967
115,115.0,6.0,2584541.347493534
116,116.0,9.0,2600647.633169651
117,117.0,1.0,2623890.9901903113
118,118.0,5.0,2644752.4335284736
119,119.0,6.0,2657198.578686205
120,120.0,5.0,2667712.9842463336
121,121.0,4.0,2691015.984995769
122,122.0,4.0,2703281.233497558
123,123.0,0.0,2721229.710258961
124,124.0,4.0,2732992.133481019
125,125.0,3.0,2749351.566827591
126,126.0,3.0,2760460.0055494756
127,127.0,5.0,2770216.1191641917
128,128.0,5.0,2782439.349018562
129,129.0,4.0,2799756.274182265
130,130.0,4.0,2817323.1572293923
131,131.0,7.0,2833661.6021114653
132,132.0,3.0,2859256.352923549
133,133.0,4.0,2872840.750591132
134,134.0,5.0,2879743.8205967764
135,135.0,3.0,2905979.2071490157
136,136.0,5.0,2914136.0364084016
137,137.0,0.0,2931617.4560594494
138,138.0,2.0,2943761.6506084963
139,139.0,1.0,2969493.4532017177
140,140.0,0.0,2982682.7031114697
141,141.0,3.0,2999733.0046729175
142,142.0,5.0,3008478.078855252
143,143.0,0.0,3033637.8725173376
144,144.0,0.0,3044694.4208480217
145,145.0,2.0,3063274.1409530067
146,146.0,6.0,3070620.851877757
147,147.0,5.0,3084041.5481452798
148,148.0,2.0,3094296.243928735
149,149.0,0.0,3118096.115944728
150,150.0,3.0,3126747.8521055556
151,151.0,5.0,3137260.9129421078
152,152.0,7.0,3143285.8644533786
153,153.0,3.0,3148500.502196116
154,154.0,5.0,3164997.0868323306
155,155.0,6.0,3175587.2296517645
156,156.0,6.0,3188560.3147506104
157,157.0,4.0,3202855.193160279
158,158.0,5.0,3208810.8110441407
159,159.0,1.0,3220884.8083970845
160,160.0,2.0,3239538.3976208786
161,161.0,4.0,3258443.4508969947
162,162.0,5.0,3267174.5066646454
163,163.0,5.0,3278021.909035136
164,164.0,7.0,3286410.2161088297
165,165.0,7.0,3301024.7882882697
166,166.0,6.0,3315822.4851767626
167,167.0,3.0,3331389.5554530085
168,168.0,4.0,3340394.7295221076
169,169.0,5.0,3356401.6247636024
170,170.0,2.0,3368725.3008209025
171,171.0,7.0,3385892.5359584847
172,172.0,3.0,3394542.9760088874
173,173.0,8.0,3404856.7868595948
174,174.0,3.0,3414835.4891392975
175,175.0,6.0,3425593.0978130773
176,176.0,3.0,3434145.997890985
177,177.0,0.0,3454677.2375539658
178,178.0,8.0,3463478.245556315
179,179.0,8.0,3473669.2274435526
180,180.0,3.0,3479098.9697730322
181,181.0,5.0,3484795.781321639
182,182.0,6.0,3494502.5174454222
183,183.0,2.0,3520505.9754156275
184,184.0,3.0,3540769.5964044454
185,185.0,6.0,3553259.1623832686
186,186.0,9.0,3563633.5509656463
187,187.0,5.0,3578194.984450814
188,188.0,3.0,3589724.1302396976
189,189.0,4.0,3607710.6278234427
190,190.0,4.0,3617673.82370238
191,191.0,4.0,3623976.374126654
192,192.0,5.0,3634064.6673715147
193,193.0,0.0,3653364.9419358047
194,194.0,5.0,3662083.7883277307
195,195.0,3.0,3672384.391111678
196,196.0,4.0,3679024.775054202
197,197.0,7.0,3691338.173064734
198,198.0,4.0,3704804.024396847
199,199.0,5.0,3714770.313190776
